Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
18:16:03,1169,69,34,53,0
18:16:04,1170,69,35,53,0
18:16:05,1171,69,34,53,0
18:16:06,1172,70,34,53,0
18:16:07,1173,70,34,53,0
18:16:08,1174,70,34,53,0
18:16:09,1175,69,35,53,0
18:16:10,1176,69,34,53,0
18:16:11,1177,69,34,53,0
18:16:12,1178,69,34,53,0
18:16:13,1179,68,36,53,0
18:16:14,1180,68,37,53,0
18:16:15,1181,68,35,52,0
18:16:16,1182,64,36,52,0
18:16:17,1183,64,35,52,0
18:16:18,1184,64,35,52,0
18:16:19,1185,67,34,52,0
18:16:20,1186,66,34,52,0
18:16:21,1187,66,40,52,0
18:16:22,1188,66,36,52,0
18:16:23,1189,61,36,52,0
18:16:24,1190,61,36,52,0
18:16:25,1191,61,37,52,0
18:16:26,1192,62,35,52,0
18:16:27,1193,62,35,52,0
18:16:28,1194,62,34,52,0
18:16:29,1195,61,34,52,0
18:16:30,1196,61,34,52,0
18:16:31,1197,61,34,52,0
18:16:32,1198,60,40,52,0
18:16:33,1199,60,33,52,0
18:16:34,1200,60,34,52,0
18:16:35,1201,60,35,52,0
18:16:36,1202,60,33,52,0
18:16:37,1203,60,31,52,0
18:16:38,1204,65,32,52,0
18:16:39,1205,65,35,52,0
18:16:40,1206,65,32,52,0
18:16:41,1207,66,32,52,0
18:16:42,1208,66,32,52,0
18:16:43,1209,66,33,52,0
18:16:44,1210,66,34,52,0
18:16:45,1211,66,35,52,0
18:16:46,1212,67,34,52,0
18:16:47,1213,67,35,52,0
18:16:48,1214,67,35,52,0
18:16:49,1215,68,35,52,0
18:16:50,1216,68,35,52,0
18:16:51,1217,68,35,52,0
18:16:52,1218,68,36,52,0
18:16:53,1219,70,35,52,0
18:16:54,1220,70,35,52,0
18:16:55,1221,70,37,52,0
18:16:56,1222,70,36,52,0
18:16:57,1223,70,36,52,0
18:16:58,1224,70,36,52,0
18:16:59,1225,67,35,52,0
18:17:00,1226,67,35,52,0
18:17:01,1227,67,34,52,0
18:17:02,1228,67,35,52,0
18:17:03,1229,67,32,52,0
18:17:04,1230,67,33,52,0
18:17:05,1231,66,44,52,0
18:17:06,1232,66,34,52,0
18:17:07,1233,65,43,52,0
18:17:08,1234,64,34,52,0
18:17:09,1235,64,33,52,0
18:17:10,1236,64,38,52,0
18:17:11,1237,63,38,52,0
18:17:12,1238,62,40,52,0
18:17:13,1239,62,39,52,0
18:17:14,1240,62,34,52,0
18:17:15,1241,63,39,52,0
18:17:16,1242,62,32,52,0
18:17:17,1243,62,44,52,0
18:17:18,1244,62,31,52,0
18:17:19,1245,63,32,52,0
18:17:20,1246,63,35,52,0
18:17:21,1247,62,33,52,0
18:17:22,1248,62,33,52,0
18:17:23,1249,62,36,52,0
18:17:24,1250,61,36,52,0
18:17:25,1251,61,33,52,0
18:17:26,1252,61,33,52,0
18:17:27,1253,60,34,52,0
18:17:28,1254,60,33,52,0
18:17:29,1255,60,34,52,0
18:17:30,1256,60,33,52,0
18:17:31,1257,60,34,52,0
18:17:32,1258,60,33,52,0
18:17:33,1259,60,33,52,0
18:17:34,1260,60,33,52,0
18:17:35,1261,60,33,52,0
18:17:36,1262,58,33,52,0
18:17:37,1263,58,46,33,0
18:17:38,1264,58,36,33,0
18:17:39,1265,59,35,33,0
18:17:40,1266,59,38,33,0
18:17:41,1267,59,36,33,0
18:17:42,1268,59,34,33,0
18:17:43,1269,59,35,33,0
18:17:44,1270,64,34,33,0
18:17:45,1271,64,34,33,0
18:17:46,1272,64,35,33,0
18:17:47,1273,64,34,33,0
18:17:48,1274,64,34,33,0
18:17:49,1275,64,34,33,0
18:17:50,1276,94,34,33,0
18:17:51,1277,94,34,49,0
18:17:52,1278,94,34,49,0
18:17:53,1279,66,34,49,0
18:17:54,1280,66,34,49,0
18:17:55,1281,66,33,49,0
18:17:56,1282,64,34,49,0
18:17:57,1283,64,33,49,0
18:17:58,1284,64,34,49,0
18:17:59,1285,63,32,49,0
18:18:00,1286,64,34,49,0
18:18:01,1287,64,32,49,0
18:18:02,1288,64,33,49,0
18:18:03,1289,65,37,49,0
18:18:04,1290,65,36,49,0
18:18:05,1291,65,31,49,0
18:18:06,1292,66,35,49,0
18:18:07,1293,66,37,49,0
18:18:08,1294,66,38,49,0
18:18:09,1295,69,38,49,0
18:18:10,1296,69,38,49,0
18:18:11,1297,69,35,49,0
18:18:12,1298,69,37,49,0
18:18:13,1299,70,36,49,0
