Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention
18:05:36,585,67,40,13,0,5
18:05:37,586,67,47,13,0,5
18:05:38,587,67,49,13,0,5
18:05:39,588,67,44,13,0,5
18:05:40,589,63,48,13,0,5
18:05:41,590,63,45,13,0,5
18:05:42,591,63,40,13,0,5
18:05:43,592,63,49,13,0,5
18:05:44,593,63,44,13,0,5
18:05:45,594,63,45,13,0,5
18:05:46,595,63,46,13,0,5
18:05:47,596,63,42,13,0,5
18:05:48,597,63,51,13,0,5
18:05:49,598,63,47,13,0,5
18:05:50,599,63,49,13,0,5
18:05:51,600,63,46,13,0,5
18:05:52,601,63,45,13,0,5
18:05:53,602,63,45,13,0,5
18:05:54,603,63,49,13,0,5
18:05:55,604,63,50,13,0,5
18:05:56,605,63,49,13,0,5
18:05:57,606,63,49,13,0,5
18:05:58,607,63,51,13,0,5
18:05:59,608,63,46,13,0,5
18:06:00,609,57,49,13,0,5
18:06:01,610,57,48,13,0,5
18:06:02,611,57,33,13,0,5
18:06:03,612,57,33,13,0,5
18:06:04,613,57,39,13,0,5
18:06:05,614,57,38,13,0,5
18:06:06,615,57,45,13,0,5
18:06:07,616,57,38,13,0,5
18:06:08,617,57,41,13,0,5
18:06:09,618,57,41,13,0,5
18:06:10,619,60,46,13,0,5
18:06:11,620,60,47,13,0,5
18:06:12,621,60,48,13,0,5
18:06:13,622,60,46,13,0,5
18:06:14,623,60,45,13,0,5
18:06:15,624,60,44,13,0,5
18:06:16,625,60,43,13,0,5
18:06:17,626,60,41,13,0,5
18:06:18,627,60,41,13,0,5
18:06:19,628,60,42,13,0,5
18:06:20,629,59,46,13,0,5
18:06:21,630,59,45,13,0,5
18:06:22,631,59,49,13,0,5
18:06:23,632,59,35,13,0,5
18:06:24,633,59,44,13,0,5
18:06:25,634,59,51,13,0,5
18:06:26,635,59,53,13,0,5
18:06:27,636,59,49,13,0,5
18:06:28,637,59,45,13,0,5
18:06:29,638,59,49,13,0,5
18:06:30,639,60,45,13,0,5
18:06:31,640,60,46,13,0,5
18:06:32,641,60,50,13,0,5
18:06:33,642,60,46,13,0,5
18:06:34,643,60,45,13,0,5
18:06:35,644,60,44,13,0,5
18:06:36,645,60,44,13,0,5
